count,job_name,start_time,text,avg_confidence,time_taken_for_job,time_taken_for_process,sentiment_score
0.0,robin_nyc_short,1641215038.0260243,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,101.721,122.41323828697205,1.0
1.0,robin_nyc_short,1641215161.831461,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,47.437,61.68438959121704,1.0
2.0,robin_nyc_short,1641215224.5880086,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,29.415,35.50728440284729,1.0
3.0,robin_nyc_short,1641215261.1665244,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.051,25.864283084869385,1.0
4.0,robin_nyc_short,1641215288.0556133,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,20.795,25.935887575149536,1.0
5.0,robin_nyc_short,1641215315.012704,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.527,26.018230438232422,1.0
6.0,robin_nyc_short,1641215342.171239,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,22.396,25.945531845092773,1.0
7.0,robin_nyc_short,1641215369.1368074,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,22.783,25.842575073242188,1.0
8.0,robin_nyc_short,1641215395.982409,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,22.11,25.868511199951172,1.0
9.0,robin_nyc_short,1641215422.9321687,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.452,25.91353130340576,1.0
10.0,robin_nyc_short,1641215449.902265,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,22.381,25.865394353866577,1.0
11.0,robin_nyc_short,1641215477.6396236,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.083,25.894028663635254,1.0
12.0,robin_nyc_short,1641215504.6744719,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.492,25.895912647247314,1.0
13.0,robin_nyc_short,1641215531.6678495,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,20.645,25.857096433639526,1.0
14.0,robin_nyc_short,1641215558.5971103,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,21.293,25.885462760925293,1.0
15.0,robin_nyc_short,1641215585.5378993,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,23.419,25.93417978286743,1.0
16.0,robin_nyc_short,1641215612.663928,Hello and happy holidays This is Robin checking in from Georgia I just got back from a really fun visit to new york city.,0.9499199999999999,17.822,18.294377326965332,1.0
